cement,slag,flyash,water,Strength,superplasticizer,coarseaggregate,fineaggregate,age
540,0,0,162,79.99,2.5,1040,676,28
540,0,0,162,61.89,2.5,1055,676,28
332.5,142.5,0,228,40.27,0,932,594,270
332.5,142.5,0,228,41.05,0,932,594,365
198.6,132.4,0,192,44.3,0,978.4,825.5,360
266,114,0,228,47.03,0,932,670,90
380,95,0,228,43.7,0,932,594,365
380,95,0,228,36.45,0,932,594,28
266,114,0,228,45.85,0,932,670,28
475,0,0,228,39.29,0,932,594,28
198.6,132.4,0,192,38.07,0,978.4,825.5,90
198.6,132.4,0,192,28.02,0,978.4,825.5,28
427.5,47.5,0,228,43.01,0,932,594,270
190,190,0,228,42.33,0,932,670,90
304,76,0,228,47.81,0,932,670,28
380,0,0,228,52.91,0,932,670,90
139.6,209.4,0,192,39.36,0,1047,806.9,90
342,38,0,228,56.14,0,932,670,365
380,95,0,228,40.56,0,932,594,90
475,0,0,228,42.62,0,932,594,180
427.5,47.5,0,228,41.84,0,932,594,180
139.6,209.4,0,192,28.24,0,1047,806.9,28
139.6,209.4,0,192,8.06,0,1047,806.9,3
139.6,209.4,0,192,44.21,0,1047,806.9,180
380,0,0,228,52.52,0,932,670,365
380,0,0,228,53.3,0,932,670,270
380,95,0,228,41.15,0,932,594,270
342,38,0,228,52.12,0,932,670,180
427.5,47.5,0,228,37.43,0,932,594,28
475,0,0,228,38.6,0,932,594,7
304,76,0,228,55.26,0,932,670,365
266,114,0,228,52.91,0,932,670,365
198.6,132.4,0,192,41.72,0,978.4,825.5,180
475,0,0,228,42.13,0,932,594,270
190,190,0,228,53.69,0,932,670,365
237.5,237.5,0,228,38.41,0,932,594,270
237.5,237.5,0,228,30.08,0,932,594,28
332.5,142.5,0,228,37.72,0,932,594,90
475,0,0,228,42.23,0,932,594,90
237.5,237.5,0,228,36.25,0,932,594,180
342,38,0,228,50.46,0,932,670,90
427.5,47.5,0,228,43.7,0,932,594,365
237.5,237.5,0,228,39,0,932,594,365
380,0,0,228,53.1,0,932,670,180
427.5,47.5,0,228,41.54,0,932,594,90
427.5,47.5,0,228,35.08,0,932,594,7
349,0,0,192,15.05,0,1047,806.9,3
380,95,0,228,40.76,0,932,594,180
237.5,237.5,0,228,26.26,0,932,594,7
380,95,0,228,32.82,0,932,594,7
332.5,142.5,0,228,39.78,0,932,594,180
190,190,0,228,46.93,0,932,670,180
237.5,237.5,0,228,33.12,0,932,594,90
304,76,0,228,49.19,0,932,670,90
139.6,209.4,0,192,14.59,0,1047,806.9,7
198.6,132.4,0,192,14.64,0,978.4,825.5,7
475,0,0,228,41.93,0,932,594,365
198.6,132.4,0,192,9.13,0,978.4,825.5,3
